created	updated	index_name	status	message	total	count	limit	offset	fields__name	fields__type	records__id	records__country	records__state	records__city	records__station	records__last_update	records__pollutant_id	records__pollutant_min	records__pollutant_max	records__pollutant_avg	records__pollutant_unit	version
											122	India	Delhi	Delhi	"Mandir Marg, New Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											123	India	Delhi	Delhi	"Mandir Marg, New Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											124	India	Delhi	Delhi	"Mandir Marg, New Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											125	India	Delhi	Delhi	"Mandir Marg, New Delhi - DPCC"	23-04-2018 05:00:00	CO	1	46	13		
											126	India	Delhi	Delhi	"Mandir Marg, New Delhi - DPCC"	23-04-2018 05:00:00	OZONE	20	75	68		
											127	India	Delhi	Delhi	"NSIT Dwarka, New Delhi - CPCB"	23-04-2018 05:00:00	PM2.5	143	314	246		
											128	India	Delhi	Delhi	"NSIT Dwarka, New Delhi - CPCB"	23-04-2018 05:00:00	NO2	28	84	45		
											129	India	Delhi	Delhi	"NSIT Dwarka, New Delhi - CPCB"	23-04-2018 05:00:00	SO2	2	28	12		
											130	India	Delhi	Delhi	"NSIT Dwarka, New Delhi - CPCB"	23-04-2018 05:00:00	CO	6	28	15		
											131	India	Delhi	Delhi	"NSIT Dwarka, New Delhi - CPCB"	23-04-2018 05:00:00	OZONE	17	72	63		
											132	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											133	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											134	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											135	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
